"","year","country","emissions_CDIAC","emissions_UNFCCC","consum_emissions_UNFCCC","transfers_UNFCCC"
"87",1961,"ARGENTINA",13.957,13.957,NA,NA
"88",1961,"AUSTRALIA",24.704,24.704,NA,NA
"89",1961,"AUSTRIA",8.689,8.689,NA,NA
"90",1961,"BELGIUM",25.305,25.305,NA,NA
"91",1961,"BRAZIL",13.418,13.418,NA,NA
"92",1961,"BULGARIA",7.083,7.083,NA,NA
"93",1961,"CANADA",52.954,52.954,NA,NA
"94",1961,"CHINA.(MAINLAND)",150.55,150.55,NA,NA
"95",1961,"CROATIA",1.87524443898243,1.87524443898243,NA,NA
"96",1961,"CYPRUS",0.236,0.236,NA,NA
"97",1961,"CZECH.REPUBLIC",29.370630815819,29.370630815819,NA,NA
"98",1961,"DEMOCRATIC.PEOPLE.S.REPUBLIC.OF.KOREA",7.215,7.215,NA,NA
"99",1961,"DENMARK",8.654,8.654,NA,NA
"100",1961,"ESTONIA",2.76208236193367,2.76208236193367,NA,NA
"101",1961,"FINLAND",4.074,4.074,NA,NA
"102",1961,"FRANCE.(INCLUDING.MONACO)",76.687,76.687,NA,NA
"103",1961,"GERMANY",227.885,227.885,NA,NA
"104",1961,"GREECE",2.679,2.679,NA,NA
"105",1961,"HUNGARY",13.356,13.356,NA,NA
"106",1961,"INDIA",35.561,35.561,NA,NA
"107",1961,"INDONESIA",7.097,7.097,NA,NA
"108",1961,"IRELAND",3.372,3.372,NA,NA
"109",1961,"ITALY.(INCLUDING.SAN.MARINO)",33.965,33.965,NA,NA
"110",1961,"JAPAN",77.207,77.207,NA,NA
"111",1961,"LATVIA",1.62615341735913,1.62615341735913,NA,NA
"112",1961,"LITHUANIA",2.66033766003499,2.66033766003499,NA,NA
"113",1961,"LUXEMBOURG",3.161,3.161,NA,NA
"114",1961,"MALTA",0.08,0.08,NA,NA
"115",1961,"MEXICO",17.809,17.809,NA,NA
"116",1961,"NETHERLANDS",20.695,20.695,NA,NA
"117",1961,"POLAND",56.568,56.568,NA,NA
"118",1961,"PORTUGAL",2.479,2.479,NA,NA
"119",1961,"ROMANIA",15.21,15.21,NA,NA
"120",1961,"RUSSIAN.FEDERATION",250.055443272855,250.055443272855,NA,NA
"121",1961,"SAUDI.ARABIA",0.974,0.974,NA,NA
"122",1961,"SLOVAKIA",9.35836918418097,9.35836918418097,NA,NA
"123",1961,"SLOVENIA",1.39515890377289,1.39515890377289,NA,NA
"124",1961,"SOUTH.AFRICA",27.874,27.874,NA,NA
"125",1961,"SPAIN",14.638,14.638,NA,NA
"126",1961,"SWEDEN",13.322,13.322,NA,NA
"127",1961,"TURKEY",4.735,4.735,NA,NA
"128",1961,"UNITED.KINGDOM",160.605,160.605,NA,NA
"129",1961,"UNITED.STATES.OF.AMERICA",785.521,785.521,NA,NA
"130",1962,"ARGENTINA",14.643,14.643,NA,NA
"131",1962,"AUSTRALIA",25.883,25.883,NA,NA
"132",1962,"AUSTRIA",9.246,9.246,NA,NA
"133",1962,"BELGIUM",26.757,26.757,NA,NA
"134",1962,"BRAZIL",14.643,14.643,NA,NA
"135",1962,"BULGARIA",8.382,8.382,NA,NA
"136",1962,"CANADA",56.5,56.5,NA,NA
"137",1962,"CHINA.(MAINLAND)",120.087,120.087,NA,NA
"138",1962,"CROATIA",1.92433656957929,1.92433656957929,NA,NA
"139",1962,"CYPRUS",0.247,0.247,NA,NA
"140",1962,"CZECH.REPUBLIC",31.2991472806032,31.2991472806032,NA,NA
"141",1962,"DEMOCRATIC.PEOPLE.S.REPUBLIC.OF.KOREA",8.378,8.378,NA,NA
